gene_name,log 2 FC,orginial p,adjusted p
ANXA1,5.536142786264358,3.674190457226269e-55,0.0
CD44,4.920847409493209,2.2104125030029127e-52,0.0
S100A10,4.843874194567599,5.919770688130871e-48,0.0
HTRA1,-4.305152483482677,1.548344726249646e-45,0.0
CCN1,3.8516873417436037,3.1548187072071032e-43,0.0
VIM,3.0763534118550195,6.247123305097168e-43,0.0
TMSB4X,2.55620456889213,7.109684252107673e-41,0.0
SULF1,5.444213179030966,1.6031706220944477e-40,0.0
GRIA2,-4.910509927736545,5.384202948383314e-40,0.0
CRYAB,3.3204523144114453,8.20779591673342e-39,0.0
ATF3,3.8369477788262585,2.0287528040029266e-38,0.0
AEBP1,3.5558739332121796,1.7495511507538147e-37,0.0
CD99,3.1376958020521846,1.0989237761645638e-36,0.0
SPOCK1,-5.595992589185857,1.6702745014763012e-36,0.0
APOD,-6.1999110153677215,7.171631460215328e-36,0.0
NEAT1,3.582133698605721,7.788088064375453e-36,0.0
PDGFRA,-6.958958705749089,1.7646437159065456e-35,0.0
PLLP,-8.69662875203137,1.797240406627234e-35,0.0
S100A6,4.172854838256524,2.992038485036769e-35,0.0
SLC6A1,-3.535972599913798,1.7101521305791131e-34,0.0
GFAP,4.487155718826865,3.41654529086088e-34,0.0
SOX10,-6.136341250779667,7.978810025226563e-34,0.0
TNR,-5.442466928265249,4.1660061277570655e-33,0.0
NES,3.489991160895552,6.612487956568182e-33,0.0
TSPAN7,-2.544450669439535,5.445507511546195e-32,0.0
MARCKSL1,-2.5823604355538254,1.0770442020916117e-31,0.0
DNER,-3.284292293239833,2.0161106355086572e-31,0.0
LHFPL3,-6.163758407827484,2.9198098133403788e-31,0.0
MGLL,-3.097011160462764,3.3317667187114937e-31,0.0
EMP1,4.108049199176383,7.833800194584983e-31,0.0
TNC,3.9542784039598775,1.5482870595651159e-30,0.0
EDIL3,-6.654084275685993,1.975527977447615e-30,0.0
SCG3,-3.151367233806035,2.2817011281380093e-30,0.0
MEG3,-8.605701602581416,3.022733331435999e-30,0.0
XYLT1,-4.270839477808649,6.233490631905009e-30,0.0
GNG5,2.2559749274650325,1.5389350774413527e-29,0.0
TCIM,5.883784653791275,1.8168591161177615e-29,0.0
ANXA2,4.183071885236576,2.609188985662301e-29,0.0
ALDOC,-2.702400497590941,2.745251174395037e-29,0.0
TSC22D1,-2.452384147169252,4.878264894017492e-29,0.0
MEGF11,-3.983926661307291,5.136950167447333e-29,0.0
OMG,-5.024733401991058,5.205910585493254e-29,0.0
NAV1,-2.4978314702136215,6.60785590031849e-29,0.0
PDZD2,-4.336310492610931,2.071537416604875e-28,0.0
OPHN1,-1.3043848767553547,1.0344331467254219e-27,0.0
SMOC1,-3.0198185274613993,1.3141066426435318e-27,0.0
PCDH15,-4.4126732125052275,1.5237217416927971e-27,0.0
PCSK1N,-5.755050745209699,1.5852595484170663e-27,0.0
GPR17,-8.071460376692535,3.052673916897236e-27,0.0
NSG2,-5.43133197888884,4.218738990437984e-27,0.0
NLGN3,-2.581247240022622,4.387809774251769e-27,0.0
ABCC3,5.262776274535201,8.306949368495621e-27,0.0
RPLP1,1.684777305177047,8.683854610950106e-27,0.0
NKAIN4,-4.681785950923391,9.397304190531792e-27,0.0
PTGDS,-3.271466465892391,1.0713462983292362e-26,0.0
HOTAIRM1,5.617766980193148,1.3833826279111036e-26,0.0
PLPPR1,-6.757335166897808,2.185209654068867e-26,0.0
SEC61G,2.433872548124051,2.545417170824785e-26,0.0
RTN1,-4.939621207470181,2.699865675554205e-26,0.0
TOMM7,1.905567630096194,3.655277002777308e-26,0.0
TNFRSF12A,3.984536084993458,4.329011588998109e-26,0.0
RAC1,1.6774012845627542,5.585015264353199e-26,0.0
IDI1,-3.175917659849297,6.536990708773906e-26,0.0
IGFBP2,4.060049170365321,7.219041604952336e-26,0.0
TPPP3,2.883807502725466,7.923809395960541e-26,0.0
LGALS1,2.0136336069322414,8.164265765280457e-26,0.0
MGST1,2.3426884790048494,8.712491967174706e-26,0.0
CSRP2,2.756825557736921,1.3726178081538398e-25,0.0
NAMPT,4.141045896764686,1.4212782744026841e-25,0.0
ACSL6,-1.956606373797628,1.7099838426097019e-25,0.0
SNX10,2.8644660704420417,2.093199568784862e-25,0.0
OPCML,-4.9258747269771535,2.823939987515727e-25,0.0
RAB13,2.8791704042584585,3.83082015285608e-25,0.0
TUBA1C,4.150156597159373,4.289005136558657e-25,0.0
SPARC,1.8033988054968506,7.512987399615215e-25,0.0
GFRA1,-5.240760448316038,8.910843519033518e-25,0.0
BEX1,-3.8787715384795316,1.9225909261851452e-24,0.0
LRRC7,-4.6052256334178825,2.2905072029559047e-24,0.0
CRNDE,5.158515464856516,2.555017090650247e-24,0.0
EMP3,3.654932435039144,2.591508100677378e-24,0.0
RPL35,1.6735108156336986,3.537372351462154e-24,0.0
DSCAM,-2.721231076727678,3.864875833524986e-24,0.0
RPS27,1.66917912107149,4.117703863689681e-24,0.0
OLIG1,-2.489217108487337,4.2951770784588026e-24,0.0
EHD3,-4.774356326389876,4.393742274063348e-24,0.0
PDE4B,-2.8684409353518836,7.21614511684163e-24,0.0
MMP16,-4.147990220294963,7.502647611593813e-24,0.0
RARRES2,2.3077817745782707,7.849391142820985e-24,0.0
BST2,3.620343871834089,8.25925741377883e-24,0.0
LAMA5,2.65465794456795,1.022704307658693e-23,0.0
RPS19,1.9013532724166726,2.9585540105159767e-23,0.0
ABHD2,-2.9411933913579533,4.107411630266502e-23,0.0
CHI3L1,7.772326311842841,4.257910109036544e-23,0.0
AFAP1L2,-5.2305643451134785,6.521871786384709e-23,0.0
CNP,-2.818094516444151,7.15110611197499e-23,0.0
EPN2,-3.008584227788719,8.067456638173645e-23,0.0
CHI3L2,7.260913734836225,8.617316838131425e-23,0.0
NTM,-2.806045723960062,8.838391327219464e-23,0.0
CA10,-6.6900694313491105,9.876215954904337e-23,0.0
SCD5,-1.5555006548059842,1.630894345271217e-22,0.0
