gene_name,log 2 FC,orginial p,adjusted p
HSPB1,2.89014983118606,1.744354922251835e-55,0.0
CSMD3,-3.1977572925523914,4.394405648538058e-55,0.0
PPIA,1.5999114647884152,5.423589635300576e-55,0.0
NXPH1,-5.046025665114765,6.4083008914857126e-55,0.0
FA2H,-5.067355122076919,1.49150779512833e-54,0.0
VSTM2B,-5.308633906295096,2.9321124486598294e-54,0.0
ASIC1,-3.858979513408827,1.6713041974879792e-53,0.0
NCAM1,-2.3291343994685625,1.6778048470235673e-53,0.0
ATCAY,-4.176853512911511,2.9297010319115256e-53,0.0
EPN2,-3.8067887438401886,4.200805603838707e-53,0.0
IDI2-AS1,-4.539484449355573,5.009986148729163e-53,0.0
ITM2A,-7.172146421202861,6.193279487054537e-53,0.0
BEX2,-3.4932263332571107,7.526953705785294e-53,0.0
SIRT2,-3.2063960066462114,1.0098235314683694e-52,0.0
C1R,4.004913129343503,1.2689620016874989e-52,0.0
MARCKSL1,-1.9022794592345043,2.5009966510996225e-52,0.0
OLIG2,-3.294786188320661,6.085725134131617e-52,0.0
C1QL1,-4.188120814228778,9.059891566083044e-52,0.0
S100A10,3.0012888657025387,3.623908511868543e-51,0.0
TNK2,-3.316478325853127,6.847970508082466e-51,0.0
EHD3,-4.1888048685368435,1.0166434611666142e-50,0.0
ELMO1,-4.612545135584048,1.9762466558918e-50,0.0
GABRB3,-4.277263156492528,2.387246963774795e-50,0.0
RPL41,1.738647366559377,2.6409107443630805e-50,0.0
SLC1A1,-4.10870541417447,5.05197440644305e-50,0.0
ANKS1B,-4.283824270236832,5.751110784764642e-50,0.0
TCIM,6.2912269872124424,8.601581880662638e-50,0.0
ANXA2,3.989616867922372,1.1072538786237578e-49,0.0
BCAS1,-5.23530641713397,1.3501821612736834e-49,0.0
NAV1,-2.59747348949349,2.1017508286562747e-49,0.0
HMGCR,-3.6025879822288704,2.5446000100500875e-49,0.0
PRR36,-2.0757198584156877,3.532472940232513e-49,0.0
PHACTR3,-2.047840766653545,4.401006045390744e-49,0.0
HAPLN2,-5.474712705358085,8.625302265413108e-49,0.0
SLAIN1,-3.8928703161687976,9.428173337916937e-49,0.0
SLC22A17,-1.988465551789693,1.8949714131950044e-48,0.0
SNX22,-4.740334336162262,3.0662447113354233e-48,0.0
